index,Adj Close,Open,High,Low,Volume
2016-01-29 00:00:00,9090,9150,9170,9000,157026
2016-02-01 00:00:00,9150,9150,9230,9100,135718
2016-02-02 00:00:00,9090,9180,9240,9070,120297
2016-02-03 00:00:00,9090,9050,9190,9020,150730
2016-02-04 00:00:00,9160,9120,9280,9070,161804
2016-02-05 00:00:00,9320,9170,9410,9150,242793
2016-02-11 00:00:00,8650,9080,9130,8620,323026
2016-02-12 00:00:00,7540,8550,8550,7260,773270
2016-02-15 00:00:00,7760,7560,7980,7560,235083
2016-02-16 00:00:00,8170,7990,8240,7880,197653
2016-02-17 00:00:00,8010,8170,8260,7900,143645
2016-02-18 00:00:00,8130,8050,8150,8050,122646
2016-02-19 00:00:00,8380,8080,8430,8060,90300
2016-02-22 00:00:00,8390,8350,8430,8260,56722
2016-02-23 00:00:00,8090,8440,8440,7980,134914
2016-02-24 00:00:00,8090,8080,8190,8000,64768
2016-02-25 00:00:00,8090,8090,8210,8080,75799
2016-02-26 00:00:00,8120,8170,8170,8100,38019
2016-02-29 00:00:00,8230,8100,8260,8100,57467
2016-03-02 00:00:00,8640,8290,8640,8290,170089
2016-03-03 00:00:00,8550,8650,8660,8450,115863
2016-03-04 00:00:00,8560,8570,8650,8520,65131
2016-03-07 00:00:00,8410,8600,8620,8350,95860
2016-03-08 00:00:00,8400,8410,8490,8330,48588
2016-03-09 00:00:00,8420,8400,8450,8320,41368
2016-03-10 00:00:00,8410,8420,8530,8340,79422
2016-03-11 00:00:00,8340,8410,8470,8300,66317
2016-03-14 00:00:00,8510,8370,9150,8360,351820
2016-03-15 00:00:00,8560,8600,8720,8490,79324
2016-03-16 00:00:00,8520,8580,8630,8510,71965
2016-03-17 00:00:00,8620,8530,8720,8520,99328
2016-03-18 00:00:00,8600,8650,8690,8560,47902
2016-03-21 00:00:00,8800,8630,8900,8580,169152
2016-03-22 00:00:00,8810,8800,9050,8780,244605
2016-03-23 00:00:00,8640,8810,8860,8620,97892
2016-03-24 00:00:00,8560,8560,8670,8540,77814
2016-03-25 00:00:00,8550,8560,8690,8520,103383
2016-03-28 00:00:00,8420,8630,8660,8420,128616
2016-03-29 00:00:00,8440,8420,8580,8380,128558
2016-03-30 00:00:00,8440,8580,8580,8430,80493
2016-03-31 00:00:00,8440,8550,8550,8380,138260
2016-04-01 00:00:00,8570,8470,8620,8420,148582
2016-04-04 00:00:00,8810,8620,8830,8550,221671
2016-04-05 00:00:00,8990,8850,9030,8690,250115
2016-04-06 00:00:00,8850,8990,8990,8820,144454
2016-04-07 00:00:00,8760,8850,8900,8760,71171
2016-04-08 00:00:00,8830,8750,8980,8730,137462
2016-04-11 00:00:00,8690,8760,8830,8610,107149
2016-04-12 00:00:00,8920,8840,9110,8820,382070
2016-04-14 00:00:00,8710,8870,8960,8650,136443
2016-04-15 00:00:00,9010,8760,9010,8690,159374
2016-04-18 00:00:00,9060,8970,9070,8900,108943
2016-04-19 00:00:00,9080,9100,9170,9020,124296
2016-04-20 00:00:00,9010,9040,9160,9010,147227
2016-04-21 00:00:00,9140,9050,9150,8920,190789
2016-04-22 00:00:00,9120,9140,9230,9070,124680
2016-04-25 00:00:00,8990,9120,9150,8950,149575
2016-04-26 00:00:00,9060,8990,9210,8980,150002
2016-04-27 00:00:00,8960,9010,9120,8900,113410
2016-04-28 00:00:00,8940,8960,9010,8900,68492
2016-04-29 00:00:00,8950,9030,9030,8880,75216
2016-05-02 00:00:00,8910,8950,9030,8820,85356
2016-05-03 00:00:00,8800,8910,8950,8740,101726
2016-05-04 00:00:00,8800,8790,8910,8710,96453
2016-05-09 00:00:00,8740,8770,8820,8670,116116
2016-05-10 00:00:00,9050,8710,9050,8710,194993
2016-05-11 00:00:00,9180,9100,9230,8920,224121
2016-05-12 00:00:00,9080,9170,9230,9040,116448
2016-05-13 00:00:00,9400,9340,9670,9250,634292
2016-05-16 00:00:00,9360,9460,9550,9340,172401
2016-05-17 00:00:00,9260,9360,9440,9180,132495
2016-05-18 00:00:00,9070,9350,9350,9070,177963
2016-05-19 00:00:00,9250,9150,9300,9140,177849
2016-05-20 00:00:00,9900,9310,10050,9260,1213732
2016-05-23 00:00:00,10050,10050,10350,9950,576194
2016-05-24 00:00:00,10150,10100,10400,9970,602438
2016-05-25 00:00:00,9850,10300,10350,9750,470494
2016-05-26 00:00:00,10000,9980,10100,9860,218224
2016-05-27 00:00:00,10100,10000,10350,9990,314014
2016-05-30 00:00:00,9560,10100,10100,9560,306725
2016-05-31 00:00:00,9830,9590,9880,9520,202132
2016-06-01 00:00:00,9800,9860,9930,9730,103621
2016-06-02 00:00:00,10000,9900,10200,9820,303877
2016-06-03 00:00:00,9870,10100,10100,9850,171590
2016-06-07 00:00:00,9800,9900,9940,9710,207730
2016-06-08 00:00:00,10450,9770,10500,9770,661467
2016-06-09 00:00:00,10150,10500,10600,9940,587092
2016-06-10 00:00:00,10150,10150,10200,9970,278343
2016-06-13 00:00:00,10200,10150,10600,10100,691148
2016-06-14 00:00:00,10000,10200,10250,9910,361585
2016-06-15 00:00:00,10250,10000,10350,9940,445566
2016-06-16 00:00:00,10300,10300,10750,10000,1015139
2016-06-17 00:00:00,10050,10350,10600,9990,645726
2016-06-20 00:00:00,9990,10150,10150,9920,246265
2016-06-21 00:00:00,10300,10050,10450,9990,593378
2016-06-22 00:00:00,10250,10300,10350,10150,228744
2016-06-23 00:00:00,9850,10200,10250,9790,348149
2016-06-24 00:00:00,9300,10050,10100,9200,598558
2016-06-27 00:00:00,9710,9000,9770,8980,571577
2016-06-28 00:00:00,9990,9620,10000,9600,402638
2016-06-29 00:00:00,9980,10150,10300,9980,414615
2016-06-30 00:00:00,10550,10150,10800,10050,1090569
2016-07-01 00:00:00,10550,10550,10900,10450,553235
